URLs Downloaded, size, # of outlinks found, content-type
https://www.cnn.com/,1575907,168,text/html
https://www.cnn.com/about,1587403,196,text/html
https://www.cnn.com/style/videos,171616,55,text/html
https://www.cnn.com/style/specials/a-walk-with,88118,40,text/html
https://www.cnn.com/specials/tv/anchors-and-reporters,1921059,540,text/html
https://www.cnn.com/specials/politics/supreme-court-nine,1582728,126,text/html
https://www.cnn.com/2017/03/04/vr/how-to-watch-vr,1516903,64,text/html
https://www.cnn.com/style/specials/smart-creativity,104472,50,text/html
https://www.cnn.com/profiles/sunlen-serfaty-profile,1633210,218,text/html
https://www.cnn.com/profiles/dan-merica-profile,1667656,222,text/html
https://www.cnn.com/australia,1627185,233,text/html
https://www.cnn.com/travel/food-and-drink,174019,77,text/html
https://www.cnn.com/style/specials/playing-with-space,120150,55,text/html
https://www.cnn.com/profiles/patrick-snell,1592247,198,text/html
https://www.cnn.com/feedback/,1548422,171,text/html
https://www.cnn.com/profiles/kristen-holmes-bio,1570557,172,text/html
https://www.cnn.com/europe,1627286,230,text/html
https://www.cnn.com/profiles/bob-ortega,1605015,199,text/html
https://www.cnn.com/style/specials/louvre-abu-dhabi,107655,50,text/html
https://www.cnn.com/videos,1759226,201,text/html
https://www.cnn.com/style/article/a-walk-with-florian-idenburg/index.html,281584,41,text/html
https://www.cnn.com/specials/us/extreme-weather,1625104,230,text/html
https://www.cnn.com/profiles/kate-bolduan-profile,1593379,200,text/html
https://www.cnn.com/style/article/a-walk-with-studio-swine/index.html,132664,38,text/html
https://www.cnn.com/entertainment/celebrities,1539698,91,text/html
http://www.cnn.com/style/specials/short-docs,85430,37,text/html
https://www.cnn.com/specials/health/parenting,1605962,231,text/html
https://www.cnn.com/middle-east,1597138,204,text/html
https://www.cnn.com/specials/photos,1638452,240,text/html
https://www.cnn.com/profiles/clarissa-ward-profile,1593230,199,text/html
https://www.cnn.com/travel/play,172794,77,text/html
https://www.cnn.com/profiles/maribel-aber-profile,1568699,173,text/html
https://www.cnn.com/specials/us/energy-and-environment,1665699,263,text/html
https://www.cnn.com/2014/01/17/cnn-info/about/index.html,1587403,196,text/html
https://www.cnn.com/style/article/a-walk-with-yves-behar/index.html,263566,36,text/html
https://www.cnn.com/entertainment/culture,1537149,89,text/html
https://www.cnn.com/style/videos/arts/2018/01/29/david-hockney-nick-glass-style-orig.cnn,75550,30,text/html
https://www.cnn.com/accessibility,1579345,184,text/html
https://www.cnn.com/profiles/pedram-javaheri-profile,1591313,197,text/html
https://www.cnn.com/specials/videos/digital-shorts,1754323,192,text/html
http://www.cnn.com/linkto/careerbuilder/cb.travel.html,192,1,text/html
https://www.cnn.com/specials/cnn-longform,1938793,509,text/html
https://www.cnn.com/style/article/a-walk-with-kengo-kuma/index.html,153359,42,text/html
https://www.cnn.com/style/specials/style-cities,109792,52,text/html
https://www.cnn.com/tv/schedule/cnn,1989204,196,text/html
https://www.cnn.com/profiles/jose-pagliery,1670845,232,text/html
https://www.cnn.com/style/specials/details,94145,44,text/html
https://www.cnn.com/profiles/abby-phillip-profile,1589367,197,text/html
https://www.cnn.com/specials/health/wellness,1603360,216,text/html
https://www.cnn.com/style/article/a-walk-with-amateur-architecture/index.html,316517,57,text/html
https://www.cnn.com/africa,1662994,250,text/html
https://www.cnn.com/2018/09/17/politics/kavanaugh-allegation-midterm-political-impact/index.html,1697975,92,text/html
https://www.cnn.com/style/specials/masters-of-experience,155101,78,text/html
https://www.cnn.com/specials/space-science,2006560,523,text/html
https://www.cnn.com/videos/politics/2018/09/29/flake-elevator-protester-intv-ac360-sot-vpx.cnn,1771756,101,text/html
https://www.cnn.com/profiles/john-vause-profile,1594032,197,text/html
https://www.cnn.com/style/specials/pixel-series,100135,47,text/html
https://www.cnn.com/style/article/australia-disappearing-church-buildings/index.html,163519,47,text/html
https://www.cnn.com/specials/digital-studios,1620587,242,text/html
https://www.cnn.com/travel/destinations,139891,95,text/html
https://www.cnn.com/2018/09/24/asia/sailor-tomy-golden-globe-race-intl/index.html,1726045,208,text/html
https://www.cnn.com/2018/09/12/politics/clarence-thomas-corey-booker-supreme-court/index.html,1712572,110,text/html
https://www.cnn.com/profiles/sarah-westwood,1587946,197,text/html
https://www.cnn.com/cnn-underscored/,232562,2,text/html
https://www.cnn.com/style/specials/masters-at-work,102387,45,text/html
https://www.cnn.com/specials/health/fitness-excercise,1602731,212,text/html
https://www.cnn.com/videos/politics/2018/09/28/kavanaugh-friend-judge-will-cooperate-probe-nr-vpx.cnn,1774221,101,text/html
https://www.cnn.com/profiles/tom-sater,1590807,197,text/html
https://www.cnn.com/more,1777385,349,text/html
https://www.cnn.com/profiles/vanessa-yurkevich,1655948,237,text/html
https://www.cnn.com/style/specials/the-adorned,91609,42,text/html
https://www.cnn.com/videos/tv/2018/09/29/watch-as-sen-jeff-flake-is-confronted-by-sexual-assault-survivors.cnn,1807526,202,text/html
https://www.cnn.com/style/luxury,110342,60,text/html
https://www.cnn.com/specials/profiles,2242788,881,text/html
https://www.cnn.com/videos/politics/2018/09/29/deborah-ramirez-cooperate-with-fbi-kavanaugh-sot-nr-vpx.cnn,1773011,100,text/html
https://www.cnn.com/2018/09/04/health/flu-shot-season/index.html,1774946,227,text/html
https://www.cnn.com/2018/09/28/politics/jeff-flake-moment-trump-kavanaugh/index.html,1746715,115,text/html
https://www.cnn.com/vr,1536692,69,text/html
https://www.cnn.com/specials/health/vital-signs,1703348,299,text/html
https://www.cnn.com/profiles/ariane-de-vogue-profile,1673225,215,text/html
https://www.cnn.com/2018/09/26/uk/jeremy-corbyn-labour-party-conference-intl/index.html,1721959,194,text/html
https://www.cnn.com/videos/politics/2018/09/28/kavanaugh-accusers-swetnick-ramirez-todd-pkg-tsr-vpx.cnn,1772780,101,text/html
https://www.cnn.com/specials/sport/winter-olympics-2018,1651581,246,text/html
https://www.cnn.com/travel/stay,172776,75,text/html
https://www.cnn.com/politics,1555529,64,text/html
https://www.cnn.com/search,1553223,177,text/html
https://www.cnn.com/2018/08/16/health/life-expectancy-uk-us-drop-study-intl/index.html,1721038,197,text/html
https://www.cnn.com/profiles/michelle-kosinski-profile,1591217,197,text/html
https://www.cnn.com/2018/09/27/asia/times-education-rankings-global-intl/index.html,1597717,190,text/html
https://www.cnn.com/videos/politics/2018/09/28/sen-amy-klobuchar-kavanaugh-vote-response-sot-vpx.cnn,1762538,101,text/html
https://www.cnn.com/specials/vr/vr-archives,1755477,274,text/html
https://www.cnn.com/world,1777146,334,text/html
https://www.cnn.com/2018/09/29/asia/typhoon-trami-japan-wxc/index.html,1708073,188,text/html
https://www.cnn.com/style/article/shipping-container-architecture/index.html,218264,52,text/html
https://www.cnn.com/2018/09/12/politics/brett-kavanaugh-baseball-ticket-debt-washington-nationals/index.html,1549835,85,text/html
https://www.cnn.com/profiles/carl-azuz,1574931,179,text/html
https://www.cnn.com/style/article/es-devlin-uk-pavilion-dubai-expo-2020/index.html,239346,57,text/html
https://www.cnn.com/profiles/ed-lavandera-profile,1593278,198,text/html
https://www.cnn.com/asia,1619953,226,text/html
https://www.cnn.com/style/design,109996,60,text/html
https://www.cnn.com/specials/opinion/opinion-politics,2063702,573,text/html
https://www.cnn.com/style/article/australia-tallest-building-intl/index.html,151852,42,text/html
https://www.cnn.com/videos/politics/2018/09/29/trump-no-back-up-plan-kavanaugh-sot-nr-vpx.cnn,1765326,100,text/html
https://www.cnn.com/profiles/brianna-keilar-profile,1591360,197,text/html
https://www.cnn.com/style/architecture,110732,60,text/html
https://www.cnn.com/election/2018/primaries,119932,89,text/html
https://www.cnn.com/profiles/amara-walker,1592158,198,text/html
https://www.cnn.com/specials/cnn-investigations,1625516,235,text/html
https://www.cnn.com/2018/09/25/europe/first-man-prosecuted-france-anti-catcalling-law-intl/index.html,1710621,188,text/html
https://www.cnn.com/profiles/mj-lee,1629485,216,text/html
https://www.cnn.com/videos/politics/2018/09/29/alyssa-milano-kavanaugh-hearing-bpr-nr-vpx.cnn,1759758,99,text/html
https://www.cnn.com/2018/09/20/us/student-pilot-security-breach-orlando/index.html,1732913,193,text/html
https://www.cnn.com/health,1764601,331,text/html
https://www.cnn.com/style/autos,108854,59,text/html
https://www.cnn.com/specials/politics/congress-capitol-hill,1631653,163,text/html
https://www.cnn.com/2018/09/04/australia/sinead-mcnamara-yacht-death-intl/index.html,1595130,191,text/html
https://www.cnn.com/profiles/max-foster,1590598,198,text/html
https://www.cnn.com/profiles/jamie-gangel-profile,1589766,197,text/html
https://www.cnn.com/2018/09/28/uk/brexit-six-months-to-go-analysis-intl/index.html,1798416,226,text/html
https://www.cnn.com/uk,1601455,212,text/html
https://www.cnn.com/specials/tv/all-shows,1623434,246,text/html
https://www.cnn.com/style,328895,124,text/html
https://www.cnn.com/2018/09/28/world/brewdog-scofflaw-beer-trump-trnd/index.html,1592121,193,text/html
https://www.cnn.com/2018/09/21/world/james-ricketson-cambodia-jail-intl/index.html,1587326,187,text/html
