18/10/19 08:45:28 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/19 08:45:29 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.3:8032
18/10/19 08:45:30 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/19 08:45:31 INFO input.FileInputFormat: Total input files to process : 74
18/10/19 08:45:32 INFO mapreduce.JobSubmitter: number of splits:74
18/10/19 08:45:32 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1539660100403_0008
18/10/19 08:45:32 INFO impl.YarnClientImpl: Submitted application application_1539660100403_0008
18/10/19 08:45:32 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1539660100403_0008/
18/10/19 08:45:32 INFO mapreduce.Job: Running job: job_1539660100403_0008
18/10/19 08:45:40 INFO mapreduce.Job: Job job_1539660100403_0008 running in uber mode : false
18/10/19 08:45:40 INFO mapreduce.Job:  map 0% reduce 0%
18/10/19 08:46:01 INFO mapreduce.Job:  map 2% reduce 0%
18/10/19 08:46:04 INFO mapreduce.Job:  map 5% reduce 0%
18/10/19 08:46:53 INFO mapreduce.Job:  map 6% reduce 0%
18/10/19 08:47:00 INFO mapreduce.Job:  map 7% reduce 0%
18/10/19 08:47:02 INFO mapreduce.Job:  map 8% reduce 0%
18/10/19 08:47:12 INFO mapreduce.Job:  map 9% reduce 0%
18/10/19 08:47:23 INFO mapreduce.Job:  map 10% reduce 0%
18/10/19 08:47:25 INFO mapreduce.Job:  map 11% reduce 0%
18/10/19 08:47:30 INFO mapreduce.Job:  map 12% reduce 0%
18/10/19 08:47:49 INFO mapreduce.Job:  map 13% reduce 0%
18/10/19 08:48:01 INFO mapreduce.Job:  map 14% reduce 0%
18/10/19 08:48:11 INFO mapreduce.Job:  map 15% reduce 0%
18/10/19 08:48:16 INFO mapreduce.Job:  map 16% reduce 0%
18/10/19 08:48:30 INFO mapreduce.Job:  map 17% reduce 0%
18/10/19 08:48:35 INFO mapreduce.Job:  map 18% reduce 0%
18/10/19 08:48:36 INFO mapreduce.Job:  map 19% reduce 0%
18/10/19 08:48:37 INFO mapreduce.Job:  map 20% reduce 0%
18/10/19 08:48:48 INFO mapreduce.Job:  map 21% reduce 0%
18/10/19 08:49:12 INFO mapreduce.Job:  map 22% reduce 0%
